"country","iso2c","id","year","membership","wdi_gdp_growth","wdi_npl_ratio","wdi_risk_premium_lending","wdi_domestic_credit","wdi_liquid_reserves_ratio","grouping"
"Germany","DE","DEU",2007,"SSM",3.26978278214851,2.65,NA,120.629892713865,2.78877313849278,"Western Europe"
"Germany","DE","DEU",2008,"SSM",1.05210910097601,2.85,NA,122.46065316143,4.18718957227563,"Western Europe"
"Germany","DE","DEU",2009,"SSM",-5.63795312944926,3.31,NA,128.640267680509,3.03848265439629,"Western Europe"
"Germany","DE","DEU",2010,"SSM",4.09076731809188,3.2,NA,126.87720769189,3.9944323974425,"Western Europe"
"Germany","DE","DEU",2011,"SSM",3.59000007873308,3.03,NA,119.909080804713,6.20837222056387,"Western Europe"
"Germany","DE","DEU",2012,"SSM",0.376484291898976,2.86,NA,118.828611949525,8.25014386899875,"Western Europe"
"Germany","DE","DEU",2013,"SSM",0.105789496349956,2.69,NA,113.521434571522,4.0197203857127,"Western Europe"
"Denmark","DK","DN1",2005,"EU Non-SSM",2.43702951307942,0.2,NA,173.606981747038,0.735960665066707,"Nordic"
"Denmark","DK","DN1",2006,"EU Non-SSM",3.79674260984774,0.3,NA,184.239380096309,0.557524126851024,"Nordic"
"Denmark","DK","DN1",2007,"EU Non-SSM",0.82441753127209,0.6,NA,199.998332628054,0.382716151375709,"Nordic"
"Denmark","DK","DN1",2008,"EU Non-SSM",-0.717955929390783,1.2,NA,204.265868987014,0.877464554447695,"Nordic"
"Denmark","DK","DN1",2009,"EU Non-SSM",-5.08793605951017,3.3,NA,215.765242845992,0.851012989977565,"Nordic"
"Denmark","DK","DN1",2010,"EU Non-SSM",1.62513291877595,4.06863631073088,NA,210.111366920394,0.423658957149963,"Nordic"
"Denmark","DK","DN1",2011,"EU Non-SSM",1.15214252570959,3.65964725462465,NA,200.752752802983,0.747085000090952,"Nordic"
"Denmark","DK","DN1",2012,"EU Non-SSM",-0.655226086249598,5.95051780307892,NA,201.433110186048,2.44040779576316,"Nordic"
"Denmark","DK","DN1",2013,"EU Non-SSM",-0.486209584308497,4.61814370485933,NA,199.6145023863,4.78497445226125,"Nordic"
"Estonia","EE","EST",2005,"SSM",9.47104167658107,0.2,NA,67.8060568284767,7.83059131422445,"Baltic"
"Estonia","EE","EST",2006,"SSM",10.4127388840488,0.2,NA,80.3900690245365,8.5646332267185,"Baltic"
"Estonia","EE","EST",2007,"SSM",7.9008436978272,0.5,NA,89.3927247330827,6.57269205764438,"Baltic"
"Estonia","EE","EST",2008,"SSM",-5.3282423256333,1.94468477607874,NA,94.6816585970865,8.93221198737355,"Baltic"
"Estonia","EE","EST",2009,"SSM",-14.7375454860182,5.20231141689893,NA,103.173262113894,9.5114569822741,"Baltic"
